"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;ghm;ponder;ponder_cn;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:20";="800000036";04M073 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 3;0;04M073;4;4;7;0;0;0;89.5;90.5;50;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:20";="800000036";04M072 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 2;0;04M072;2;2;9.5;0;0;0;84;84;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:20";="800000036";04M074 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 4;0;04M074;1;1;12;0;0;0;73;73;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:20";="800000036";05M093 Insuffisances cardiaques et états de choc circulatoire, niveau 3;0;05M093;1;1;35;0;0;0;97;97;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";04M073 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 3;0;04M073;5;5;13.6;0;0;20;81.4;79;60;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";04M072 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 2;0;04M072;3;3;9;0;0;0;73;68;33.333333333;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";03M053 Troubles de l'équilibre, niveau 3;0;03M053;2;2;22.5;0;0;0;85.5;85.5;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";05M092 Insuffisances cardiaques et états de choc circulatoire, niveau 2;0;05M092;2;2;9.5;0;0;0;92;92;50;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";04M074 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 4;0;04M074;1;1;8;0;0;0;72;72;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";05M094 Insuffisances cardiaques et états de choc circulatoire, niveau 4;0;05M094;1;1;20;0;0;0;82;82;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";06M032 Autres gastroentérites et maladies diverses du tube digestif, âge supérieur à 17 ans, niveau 2;0;06M032;1;1;6;0;0;0;81;81;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";06M062 Occlusions intestinales non dues à une hernie, niveau 2;0;06M062;1;1;4;0;0;0;81;81;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";07M022 Affections des voies biliaires, niveau 2;0;07M022;1;1;6;0;0;0;71;71;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";08M293 Autres pathologies rachidiennes relevant d'un traitement médical, niveau 3;0;08M293;1;1;21;0;0;0;71;71;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";08M312 Ostéomyélites aigües (y compris vertébrales) et arthrites septiques, niveau 2;0;08M312;1;1;10;0;0;0;66;66;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";10M032 Diabète, âge inférieur à 36 ans, niveau 2;0;10M032;1;1;8;0;0;0;26;26;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";10M164 Troubles métaboliques, âge supérieur à 17 ans, niveau 4;0;10M164;1;1;54;0;0;0;73;73;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";11C131 Interventions par voie transurétrale ou transcutanée pour des affections non lithiasiques, niveau 1;0;11C131;1;1;2;0;0;0;77;77;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";11M124 Signes et symptômes concernant les reins et les voies urinaires, âge supérieur à 17 ans, niveau 4;0;11M124;1;1;8;0;0;0;94;94;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";16M112 Autres troubles de la lignée érythrocytaire, âge supérieur à 17 ans, niveau 2;0;16M112;1;1;6;0;0;0;52;52;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";18M033 Maladies virales, âge supérieur à 17 ans, niveau 3;0;18M033;1;1;9;0;0;0;90;90;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:16";="600100168";23M20T Autres symptômes et motifs de recours aux soins de la CMD 23, très courte durée;0;23M20T;1;1;0;0;0;0;66;66;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";04M073 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 3;0;04M073;16;16;12.9375;0;0;0;82.5625;83.5;68.75;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";04M074 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 4;0;04M074;5;5;30.6;0;0;0;86.6;87;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";04M072 Infections et inflammations respiratoires, âge supérieur à 17 ans, niveau 2;0;04M072;2;2;7.5;0;0;0;81.5;81.5;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";04M07T Transferts et autres séjours courts pour infections et inflammations respiratoires, âge supérieur à 17 ans;0;04M07T;1;1;1;0;0;0;68;68;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";04M093 Tumeurs de l'appareil respiratoire, niveau 3;0;04M093;1;1;18;0;0;0;61;61;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";04M24E Affections de la CMD 04 avec décès : séjours de moins de 2 jours;0;04M24E;1;1;1;0;0;0;71;71;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";05M094 Insuffisances cardiaques et états de choc circulatoire, niveau 4;0;05M094;1;1;34;0;0;0;83;83;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";05M154 Hypertension artérielle, niveau 4;0;05M154;1;1;45;0;0;0;82;82;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";06M064 Occlusions intestinales non dues à une hernie, niveau 4;0;06M064;1;1;29;0;0;0;97;97;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";10M182 Troubles nutritionnels divers, âge supérieur à 17 ans, niveau 2;0;10M182;1;1;11;0;0;0;78;78;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";11M063 Insuffisance rénale, sans dialyse, niveau 3;0;11M063;1;1;21;0;0;0;76;76;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";12M053 Autres affections de l'appareil génital masculin, niveau 3;0;12M053;1;1;23;0;0;0;68;68;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";12M064 Prostatites aigües et orchites, niveau 4;0;12M064;1;1;39;0;0;0;98;98;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";13M043 Autres affections de l'appareil génital féminin, niveau 3;0;13M043;1;1;14;0;0;0;85;85;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";19M024 Troubles aigus de l'adaptation et du fonctionnement psychosocial, niveau 4;0;19M024;1;1;7;0;0;0;88;88;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";19M073 Troubles mentaux d'origine organique et retards mentaux, âge inférieur à 80 ans, niveau 3;0;19M073;1;1;26;0;0;0;72;72;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:08";="020000022";19M193 Troubles de l'humeur, niveau 3;0;19M193;1;1;27;0;0;0;69;69;0;2023.7;X020000022;18AUG23;15:14:25
